,Time,Type,Dev (cm),Depth (cm),Length (cm),Width (cm),Severity,Conf.,Strength,Baseline
0,13:15:11,🟡 Shallow Pothole,+1.1,3.1,0,0,⚠️ Shallow,58%,3396,285
1,13:14:41,🔶 Speed Bump,-4.9,2.1,0,0,— Noise,75%,3593,289
2,13:14:15,🔴 Deep Pothole,-1.9,22.1,25,20,🔴 Deep/Dangerous,68%,4284,291
3,13:14:05,🔴 Deep Pothole,+18.9,18.9,75,60,🔴 Deep/Dangerous,rule,3379,294
4,13:14:01,🔶 Speed Bump,-27.7,7.3,25,20,⚠️ Shallow,59%,2094,298
