,Time,Type,Dev (cm),Depth (cm),Length (cm),Width (cm),Severity,Conf.,Strength,Baseline
0,13:38:56,🔶 Speed Bump,-43.3,69.7,16.7,13.4,🔴 Deep/Dangerous,rule,3756,343
1,13:38:52,🔶 Speed Bump,-36.6,50.4,25,20,🔴 Deep/Dangerous,rule,3117,363
2,13:38:48,🔴 Deep Pothole,+44.9,44.9,58.3,46.6,🔴 Deep/Dangerous,rule,2510,368
3,13:38:44,🔶 Speed Bump,-10.5,36.5,58.3,46.6,🔴 Deep/Dangerous,rule,2542,364
4,13:38:40,🔴 Deep Pothole,+39.0,39,25,20,🔴 Deep/Dangerous,rule,2745,362
5,13:38:37,🔴 Deep Pothole,+8.6,18.6,83.3,66.6,🔴 Deep/Dangerous,rule,2628,362
6,13:38:33,🔶 Speed Bump,-45.2,17.8,75,60,🔴 Deep/Dangerous,41%,2647,365
7,13:38:23,🔶 Speed Bump,-16.6,4.4,0,0,⚠️ Shallow,rule,2614,381
